Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
SQP (mixed);2;2;[0, 1];;;4;7;-0.1481481470747208;[-6.66638307e-01  1.27092507e-05]
;;;;;;;;;
;;;;;;;;;
=====;=====;=====;=====;=====;=====;=====;;;
;;;;;;;;;
Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
ZZ02_Test_3dRosenbrock;[0. 0. 0.];;;;;;;;
;;;;;;;;;
Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
BOBYQA;3;0;[];2n+1;7;158;189;3,44E-05;[1. 1. 1.]
FullyDetQuadInterpol;3;0;[];0.5(n+1)(n+2);10;121;149;3,49E-10;[1. 1. 1.]
FullyDetLinearInterpol;3;0;[];n+1;4;1564;fail;0.004642500734648683;[0.96912967 0.93927994 0.88210051]
;;;;;;;;;
Trafo Version1;3;0;[];m_default;10;121;149;3,49E-09;[1. 1. 1.]
Trafo Version1;3;1;[0];m_default;6;95;119;7,80E-13;[1. 1. 1.]
Trafo Version1;3;1;[1];m_default;6;75;95;2,00E-14;[1. 1. 1.]
Trafo Version1;3;1;[2];m_default;6;85;101;5,06E-12;[1. 1. 1.]
Trafo Version1;3;2;[0, 1];m_default;5;72;85;1,63E-11;[1. 1. 1.]
Trafo Version1;3;2;[0, 2];m_default;5;84;107;7,67E-12;[1. 1. 1.]
Trafo Version1;3;2;[1, 2];m_default;5;86;98;2,59E-11;[1. 1. 1.]
Trafo Version1;3;3;[0, 1, 2];m_default;4;73;80;4,34E-13;[1. 1. 1.]
;;;;;;;;;
Trafo Version4;3;0;[];m_default;7;167;205;1,26E-01;[1. 1. 1.]
Trafo Version4;3;1;[0];m_default;7;309;415;4,10E+00;[1.00000003 1.00000006 1.00000011]
Trafo Version4;3;1;[1];m_default;7;346;434;3,40E+10;[0.99919036 0.99836375 0.99671202]
Trafo Version4;3;1;[2];m_default;7;405;516;4,72E-01;[0.99999999 0.99999998 0.99999996]
Trafo Version4;3;2;[0, 1];m_default;7;489;532;1,57E+00;[1.         0.99999999 0.99999999]
Trafo Version4;3;2;[0, 2];m_default;7;182;238;3,68E+01;[1.00000009 1.00000017 1.00000034]
Trafo Version4;3;2;[1, 2];m_default;7;210;270;1,21E-01;[1.         1.         1.00000001]
Trafo Version4;3;3;[0, 1, 2];m_default;7;142;171;3,67E-02;[1.         1.         1.00000001]
;;;;;;;;;
SQP (mixed);3;0;[];;;27;120;2,69E+07;[0.99994482 0.99988914 0.99978901]
SQP (mixed);3;1;[0];;;27;93;2,69E+08;[0.99994482 0.99988914 0.99978901]
SQP (mixed);3;1;[1];;;27;93;2,69E+08;[0.99994482 0.99988914 0.99978901]
SQP (mixed);3;1;[2];;;27;93;2,69E+07;[0.99994482 0.99988914 0.99978901]
SQP (mixed);3;2;[0, 1];;;27;66;2,69E+08;[0.99994482 0.99988914 0.99978901]
SQP (mixed);3;2;[0, 2];;;27;66;2,69E+07;[0.99994482 0.99988914 0.99978901]
SQP (mixed);3;2;[1, 2];;;27;66;2,69E+08;[0.99994482 0.99988914 0.99978901]
SQP (mixed);3;3;[0, 1, 2];;;27;39;2,69E+07;[0.99994482 0.99988914 0.99978901]
;;;;;;;;;
;;;;;;;;;
=====;=====;=====;=====;=====;=====;=====;;;
;;;;;;;;;
Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
ZZ03_Test_3d;[0. 0. 0.];;;;;;;;
;;;;;;;;;
Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
BOBYQA;3;0;[];2n+1;7;48;53;-1.0;[ 2.22485431e-10  1.00000000e+00 -3.19872781e-10]
FullyDetQuadInterpol;3;0;[];0.5(n+1)(n+2);10;52;58;-1.0;[-3.4439797e-10  1.0000000e+00  2.6204888e-10]
FullyDetLinearInterpol;3;0;[];n+1;4;56;69;-0.9999999999999997;[4.72202279e-09 9.99999995e-01 1.52961780e-08]
;;;;;;;;;
Trafo Version1;3;0;[];m_default;10;47;56;-1.0;[-3.78904592e-11  1.00000000e+00 -8.60559808e-12]
Trafo Version1;3;1;[0];m_default;6;40;43;-1.0;[-1.39284177e-11  1.00000000e+00  5.54765273e-11]
Trafo Version1;3;1;[1];m_default;6;45;49;-1.0;[-3.61461642e-11  1.00000000e+00 -2.41149543e-11]
Trafo Version1;3;1;[2];m_default;6;39;43;-1.0;[-1.08181514e-09  9.99999999e-01  3.85092033e-10]
Trafo Version1;3;2;[0, 1];m_default;5;38;40;-1.0;[ 1.73133813e-10  9.99999999e-01 -2.70236603e-10]
