Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
HD01_sum2_10d;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];;;;;;;;
;;;;;;;;;
Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
SQP (mixed);10;5;[0, 1, 2, 3, 4];;;2;13;4,44E-14;"[-6.66133815e-16 -6.66133815e-16 -6.66133815e-16 -6.66133815e-16
 -6.66133815e-16  6.66133815e-16  6.66133815e-16  6.66133815e-16
  6.66133815e-16  6.66133815e-16]"
SQP (mixed);10;5;[1, 4, 6, 8, 9];;;2;13;4,44E-14;"[ 6.66133815e-16 -6.66133815e-16  6.66133815e-16  6.66133815e-16
 -6.66133815e-16  6.66133815e-16 -6.66133815e-16  6.66133815e-16
 -6.66133815e-16 -6.66133815e-16]"
SQP (mixed);10;5;[0, 1, 4, 7, 9];;;2;13;4,44E-14;"[-6.66133815e-16 -6.66133815e-16  6.66133815e-16  6.66133815e-16
 -6.66133815e-16  6.66133815e-16  6.66133815e-16 -6.66133815e-16
  6.66133815e-16 -6.66133815e-16]"
SQP (mixed);10;7;[1, 3, 4, 6, 7, 8, 9];;;2;9;3,75E-15;"[ 8.8817842e-16 -4.4408921e-16  8.8817842e-16 -4.4408921e-16
 -4.4408921e-16  8.8817842e-16 -4.4408921e-16 -4.4408921e-16
 -4.4408921e-16 -4.4408921e-16]"
SQP (mixed);10;7;[0, 2, 4, 6, 7, 8, 9];;;2;9;3,75E-15;"[-4.4408921e-16  8.8817842e-16 -4.4408921e-16  8.8817842e-16
 -4.4408921e-16  8.8817842e-16 -4.4408921e-16 -4.4408921e-16
 -4.4408921e-16 -4.4408921e-16]"
SQP (mixed);10;7;[0, 2, 3, 4, 6, 7, 9];;;2;9;3,75E-15;"[-4.4408921e-16  8.8817842e-16 -4.4408921e-16 -4.4408921e-16
 -4.4408921e-16  8.8817842e-16 -4.4408921e-16 -4.4408921e-16
  8.8817842e-16 -4.4408921e-16]"
SQP (mixed);10;10;[0, 1, 2, 3, 4, 5, 6, 7, 8, 9];;;2;3;0.0;[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
;;;;;;;;;
;;;;;;;;;
=====;=====;=====;=====;=====;=====;=====;;;
;;;;;;;;;
Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
